Freq (Hz)	Sonde/GEN_Mod	Sonde/GEN_Phase(rad)
315.000000000000060E+0	654.442428349421350E-3	27.028683183576547E+0
316.000000000000060E+0	647.408461154157620E-3	27.034284534990356E+0
317.000000000000060E+0	638.991877064119750E-3	27.036314497336228E+0
318.000000000000060E+0	621.610463316151000E-3	26.996036653906071E+0
319.000000000000060E+0	606.998773212024330E-3	26.985986324169019E+0
320.000000000000060E+0	606.127966765109600E-3	26.980002021611849E+0
321.000000000000060E+0	606.480239087506700E-3	26.979242839180671E+0
322.000000000000060E+0	599.351641288405460E-3	26.972243391876979E+0
323.000000000000060E+0	584.442906356604900E-3	26.950785425587544E+0
324.000000000000060E+0	569.011778684235140E-3	26.923538775177935E+0
325.000000000000060E+0	559.947404063115490E-3	26.907110258925567E+0
326.000000000000060E+0	565.504624442091930E-3	26.910247822134114E+0
327.000000000000060E+0	563.014093489653140E-3	26.898532988941245E+0
328.000000000000060E+0	546.852447885526000E-3	26.899155792553817E+0
329.000000000000060E+0	545.818480223697170E-3	26.860849743222463E+0
330.000000000000060E+0	531.733524379510940E-3	26.834221906940897E+0
331.000000000000060E+0	541.163914606413330E-3	26.821085884076894E+0
332.000000000000060E+0	532.725567279455640E-3	26.814770067066529E+0
333.000000000000060E+0	530.396362741083480E-3	26.783669883618465E+0
334.000000000000060E+0	513.974352891698900E-3	26.739781996157202E+0
335.000000000000060E+0	507.507300401268460E-3	26.709355581029570E+0
336.000000000000060E+0	497.003036523942680E-3	26.679988099313235E+0
337.000000000000060E+0	470.128218891514960E-3	26.677644997667375E+0
338.000000000000060E+0	461.199987316654850E-3	26.666988471652740E+0
339.000000000000060E+0	448.669922301588480E-3	26.662910009302251E+0
340.000000000000060E+0	435.044417571341440E-3	26.636945380691774E+0
341.000000000000060E+0	424.784986466819670E-3	26.619188040650808E+0
342.000000000000060E+0	411.168614923282160E-3	26.628107892635683E+0
343.000000000000060E+0	396.183900951209420E-3	26.640734110186521E+0
344.000000000000060E+0	397.679820671108020E-3	26.642147240309860E+0
345.000000000000060E+0	391.216730048984270E-3	26.624054955830765E+0
346.000000000000060E+0	384.028297468975650E-3	26.600263724537392E+0
347.000000000000060E+0	376.487760382073650E-3	26.594612892623321E+0
348.000000000000060E+0	365.454635092046730E-3	26.610497754508877E+0
349.000000000000060E+0	354.628093176851070E-3	26.607125932563882E+0
350.000000000000060E+0	349.070052662049160E-3	26.602422194722507E+0
351.000000000000060E+0	348.671015743363730E-3	26.606996952395548E+0
352.000000000000060E+0	344.974522550372640E-3	26.599625373931815E+0
353.000000000000060E+0	330.031434892351760E-3	26.597575678430978E+0
354.000000000000060E+0	325.592708577524200E-3	26.597208755535153E+0
355.000000000000060E+0	314.942769084082360E-3	26.622592761033779E+0
356.000000000000060E+0	316.177847944654090E-3	26.629226731799758E+0
357.000000000000060E+0	319.593819167657000E-3	26.634548030419261E+0
358.000000000000060E+0	320.580516299099950E-3	26.633647213656232E+0
359.000000000000060E+0	316.750136998535210E-3	26.631886277125869E+0
360.000000000000060E+0	308.486748388147820E-3	26.617848322833812E+0
361.000000000000060E+0	303.403591904876590E-3	26.630610258726996E+0
362.000000000000060E+0	302.612915046631350E-3	26.632333888776213E+0
363.000000000000060E+0	311.592854253435750E-3	26.638829406650125E+0
364.000000000000060E+0	310.604000660265720E-3	26.637175754661357E+0
365.000000000000060E+0	306.808443869212470E-3	26.634074312746733E+0
366.000000000000060E+0	301.656422600932120E-3	26.607902181738297E+0
367.000000000000060E+0	299.153282366471150E-3	26.601735721478885E+0
368.000000000000060E+0	299.956785977894600E-3	26.609131260346253E+0
369.000000000000060E+0	300.457522239804150E-3	26.626716167753113E+0
370.000000000000060E+0	302.721409324651470E-3	26.622964952615554E+0
371.000000000000060E+0	299.228202471820530E-3	26.598063868442402E+0
372.000000000000060E+0	302.229784256583980E-3	26.576494522847970E+0
373.000000000000060E+0	299.887143681653530E-3	26.563263488011465E+0
374.000000000000060E+0	296.909633089570140E-3	26.573650730370190E+0
375.000000000000060E+0	291.251422831739880E-3	26.579500763746569E+0
376.000000000000060E+0	293.096101956377310E-3	26.567027865248207E+0
377.000000000000060E+0	300.339506597619490E-3	26.543025086425754E+0
378.000000000000060E+0	298.398607664464580E-3	26.529917153284487E+0
379.000000000000060E+0	300.561202290306860E-3	26.518099128740680E+0
380.000000000000060E+0	294.591225443669170E-3	26.508202611055708E+0
381.000000000000060E+0	284.879293226654060E-3	26.481260119485615E+0
382.000000000000060E+0	284.707255373811030E-3	26.469822025981532E+0
383.000000000000060E+0	289.290556418514370E-3	26.477553981242522E+0
384.000000000000060E+0	291.313953203215180E-3	26.470768003571820E+0
385.000000000000060E+0	287.420272045391500E-3	26.470540177043194E+0
