Freq (Hz)	accelerometre (V^2 )	source
source
source(V^2 )
413.000000000000110E+0	1.479987847333531E+0	214.785341541119580E+0
414.000000000000110E+0	512.398066358527140E-3	243.002251203102620E+0
415.000000000000110E+0	15.936303700280763E-3	218.542430377693050E+0
416.000000000000110E+0	311.949920243005660E-3	114.537100259752290E+0
417.000000000000110E+0	2.176167044262603E+0	110.654723442413410E+0
418.000000000000110E+0	5.151086067537912E+0	228.486338944072570E+0
419.000000000000110E+0	6.725061640692651E+0	257.330426122951910E+0
420.000000000000110E+0	5.415628727601840E+0	234.618110394561970E+0
421.000000000000110E+0	1.987493418097721E+0	45.118654692706187E+0
422.000000000000110E+0	3.838527580391140E+0	204.395146554580920E+0
423.000000000000110E+0	8.639525331967238E+0	341.487600998716690E+0
424.000000000000110E+0	5.410929998015733E+0	164.579623294917840E+0
425.000000000000110E+0	8.754986086125980E+0	202.217560487435920E+0
426.000000000000110E+0	6.221646570007371E+0	122.177512726415530E+0
427.000000000000110E+0	18.576695462921457E+0	141.977269210339730E+0
